DatePaid;TrackingNumber;Location;LocationName;OSS360_PaymentType;BankName;Montant Total
09/09/2020;L02_01_20200909_41674;L02;Agence Okala;Espèces;BGFI BANK;1516541
10/09/2020;L02_01_20200911_41742;L02;Agence Okala;Espèces;BGFI BANK;404145
11/09/2020;L02_01_20200911_41752;L02;Agence Okala;Espèces;BGFI BANK;737488
14/09/2020;L02_01_20200914_41804;L02;Agence Okala;Espèces;BGFI BANK;452169
15/09/2020;L02_01_20200915_41843;L02;Agence Okala;Espèces;BGFI BANK;370271
16/09/2020;L02_01_20200916_41893;L02;Agence Okala;Espèces;BGFI BANK;356105
17/09/2020;L02_01_20200917_41935;L02;Agence Okala;Espèces;BGFI BANK;720604
18/09/2020;L02_01_20200918_41979;L02;Agence Okala;Espèces;BGFI BANK;533385
21/09/2020;L02_01_20200921_42034;L02;Agence Okala;Espèces;BGFI BANK;1266654
22/09/2020;L02_01_20200922_42072;L02;Agence Okala;Espèces;BGFI BANK;644464
23/09/2020;L02_01_20200923_42118;L02;Agence Okala;Espèces;BGFI BANK;517065
24/09/2020;L02_01_20200924_42164;L02;Agence Okala;Espèces;BGFI BANK;409805
25/09/2020;L02_01_20200928_42252;L02;Agence Okala;Espèces;BGFI BANK;951195
28/09/2020;L02_01_20200928_42258;L02;Agence Okala;Espèces;BGFI BANK;1422133
29/09/2020;L02_01_20200929_42307;L02;Agence Okala;Espèces;BGFI BANK;904132
30/09/2020;L02_01_20200930_42352;L02;Agence Okala;Espèces;BGFI BANK;1793631
01/10/2020;L02_01_20201001_42402;L02;Agence Okala;Espèces;BGFI BANK;1326255
02/10/2020;L02_01_20201002_42444;L02;Agence Okala;Espèces;BGFI BANK;2381673
05/10/2020;L02_01_20201005_42493;L02;Agence Okala;Espèces;BGFI BANK;932770
06/10/2020;L02_01_20201006_42533;L02;Agence Okala;Espèces;BGFI BANK;350516
07/10/2020;L02_01_20201007_42586;L02;Agence Okala;Espèces;BGFI BANK;2492358
08/10/2020;L02_01_20201008_42628;L02;Agence Okala;Espèces;BGFI BANK;693872
09/10/2020;L02_01_20201009_42673;L02;Agence Okala;Espèces;BGFI BANK;723993
10/09/2020;L02_02_20200911_41741;L02;Agence Okala;Chèque ORABANK      ; BGFI BANK                              ;111336
