9/16/2020, L19_02_20200916_41879 , L19, LOE, Chèque , Chèque ECOBANK ,39670000
9/16/2020, L32_02_20200916_41878 , L32, LOM, Chèque , Chèque ECOBANK ,217350000
9/16/2020, L39_01_20200916_41877 , L39, NNN, Espèce , Espèces ,25300
9/16/2020, L14_01_20200916_41876 , L14, ALL, Espèce , Espèces ,30000
9/15/2020, L80_01_20200915_41875 , L80, KKG, Espèce , Espèces ,18900
9/15/2020, L12_02_20200915_41874 , L12, NED, Chèque , Chèque ORABANK ,5387639
9/15/2020, L12_01_20200915_41873 , L12, NED, Espèce , Espèces ,943771
9/15/2020, L12_01_20200915_41872 , L12, NED, Espèce , Espèces ,40000
9/15/2020, L16_01_20200915_41871 , L16, ILE, Espèce , Espèces ,222343
9/15/2020, L29_02_20200915_41870 , L29, MAN, Chèque , Chèque UBA ,176486
9/15/2020, L11_01_20200915_41869 , L11, ANO, Espèce , Espèces ,479282
9/15/2020, L10_01_20200915_41868 , L10, GMD, Espèce , Espèces ,268933
9/15/2020, L11_02_20200915_41867 , L11, ANO, Chèque , Chèque UGB ,127119
9/15/2020, L11_02_20200915_41866 , L11, ANO, Chèque , Chèque UGB ,1292374
9/15/2020, L03_01_20200915_41865 , L03, EMK, Espèce , Espèces ,1588690
9/15/2020, L40_01_20200915_41864 , L40, JN , Espèce , Espèces ,56400
9/15/2020, L40_01_20200915_41863 , L40, JN , Espèce , Espèces ,53300
9/15/2020, L11_02_20200915_41862 , L11, ANO, Chèque , Chèque UGB ,8453390
9/15/2020, L07_01_20200915_41861 , L07, PEM, Espèce , Espèces ,218245
9/15/2020, L07_01_20200915_41860 , L07, PEM, Espèce , Espèces ,94500
9/15/2020, L03_02_20200915_41859 , L03, EMK, Chèque , Chèque ORABANK ,2634709
9/15/2020, L29_01_20200915_41858 , L29, MAN, Espèce , Espèces ,1322854
9/15/2020, L11_02_20200915_41857 , L11, ANO, Chèque , Chèque UGB ,8453390
9/15/2020, L22_01_20200915_41856 , L22, VAN, Espèce , Espèces ,3044433
9/15/2020, M02_01_20200915_41855 , M02, MDB, Espèce , Espèces ,284777
9/15/2020, L05_01_20200915_41854 , L05, MAN, Espèce , Espèces ,3111800
9/15/2020, L22_02_20200915_41853 , L22, VAN, Chèque , Chèque UGB ,326098
9/15/2020, L86_01_20200915_41852 , L86, LCM, Espèce , Espèces ,47250
9/15/2020, L04_01_20200915_41851 , L04, COL, Espèce , Espèces ,1141689
9/15/2020, L15_01_20200915_41850 , L15, JAB, Espèce , Espèces ,71138
9/15/2020, L04_02_20200915_41849 , L04, COL, Chèque , Chèque ECOBANK ,6321934
9/15/2020, M02_01_20200915_41848 , M02, MDB, Espèce , Espèces ,9450
9/15/2020, L86_01_20200915_41847 , L86, LCM, Espèce , Espèces ,60669
9/15/2020, L06_01_20200915_41846 , L06, MDT, Espèce , Espèces ,1015057
9/15/2020, L08_01_20200915_41845 , L08, NIC, Espèce , Espèces ,1727709
9/15/2020, L25_01_20200915_41844 , L25, NZI, Espèce , Espèces ,1236395
9/15/2020, L02_01_20200915_41843 , L02, TNN, Espèce , Espèces ,370271
9/15/2020, L25_02_20200915_41842 , L25, NZI, Chèque , Chèque BGFI ,38019
9/15/2020, L02_02_20200915_41841 , L02, TNN, Chèque , Chèque CITIGROUP ,1766440
9/15/2020, L25_01_20200915_41840 , L25, NZI, Espèce , Espèces ,9450
9/15/2020, L17_01_20200915_41839 , L17, VMB, Espèce , Espèces ,327066
9/15/2020, L05_02_20200915_41838 , L05, MAN, Chèque , Chèque ORABANK ,17104163
9/15/2020, L87_01_20200915_41837 , L87, MLO, Espèce , Espèces ,140426
9/15/2020, L32_04_20200915_41836 , L32, LOM, Chèque , BGFI Virement ,18087300
9/15/2020, L13_01_20200915_41835 , L13, MCA, Espèce , Espèces ,472500
9/15/2020, L14_01_20200915_41834 , L14, ALL, Espèce , Espèces ,1842750
9/15/2020, L13_01_20200915_41833 , L13, MCA, Espèce , Espèces ,59000
9/15/2020, L32_02_20200915_41832 , L32, LOM, Chèque , Chèque ORABANK ,255150000
9/15/2020, L14_01_20200915_41831 , L14, JON, Espèce , Espèces ,402100
