28/09/2020|L17_01_20200928_42274|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |644865
28/09/2020|L22_01_20200928_42266|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2785320
28/09/2020|L22_02_20200928_42261|L22|Agence Mbolo|7114474                                 |Chèque BICIG        |ORABANK Recettes|70594
28/09/2020|L22_02_20200928_42261|L22|Agence Mbolo|N°7151705                               |Chèque BGFI         |ORABANK Recettes|51674
28/09/2020|L22_02_20200928_42261|L22|Agence Mbolo|N°7377833                               |Chèque BGFI         |ORABANK Recettes|47600
28/09/2020|L25_01_20200928_42286|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|2923933
28/09/2020|L25_02_20200928_42277|L25|Agence AVORBAM|0781922                                 |Chèque UBA          |BGFI BANK|80678
28/09/2020|L29_01_20200928_42278|L29|Agence FTTH|                                        |Espèces|UBA BANK|3158321
28/09/2020|L29_02_20200928_42281|L29|Agence FTTH|5300792                                 |Chèque BGFI         |UBA BANK|19264
28/09/2020|L32_02_20200929_42293|L32|DCM - distribution|0014065                                 |Chèque ECOBANK      |UGB BANK|47150000
28/09/2020|L32_02_20200929_42293|L32|DCM - distribution|5877202                                 |Chèque UGB          |UGB BANK|66000000
28/09/2020|L32_02_20200929_42293|L32|DCM - distribution|6929402                                 |Chèque BICIG        |UGB BANK|94500000
28/09/2020|L32_02_20200929_42293|L32|DCM - distribution|6929403                                 |Chèque BICIG        |UGB BANK|47500000
28/09/2020|L32_04_20200928_42253|L32|DCM - distribution|880147                                  |BGFI  Virement      |BGFI BANK|1001700
28/09/2020|L32_04_20200928_42253|L32|DCM - distribution|880156                                  |BGFI  Virement      |BGFI BANK|12114900
28/09/2020|L32_04_20200928_42253|L32|DCM - distribution|880454                                  |BGFI  Virement      |BGFI BANK|3005100
28/09/2020|L39_01_20200928_42268|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|124000
28/09/2020|L39_01_20200928_42269|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|20591550
28/09/2020|L40_01_20200928_42276|L40|Agence Gamba|                                        |Espèces|BICIG BANK|294425
28/09/2020|L79_01_20200928_42290|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|623700
28/09/2020|L79_01_20200928_42291|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|18900
28/09/2020|L79_01_20200928_42292|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|102650
28/09/2020|L80_01_20200929_42294|L80|Agence Bitam|                                        |Espèces|UGB BANK|24203
28/09/2020|L87_01_20200928_42279|L87|Agence PK8|                                        |Espèces|UBA BANK|764376
28/09/2020|M02_01_20200928_42283|M02|Agence Awendje|                                        |Espèces|UBA BANK|66150
28/09/2020|M02_01_20200928_42284|M02|Agence Awendje|                                        |Espèces|UBA BANK|676416
29/09/2020|L02_01_20200929_42307|L02|Agence Okala|                                        |Espèces|BGFI BANK|904132
29/09/2020|L03_01_20200929_42321|L03|Agence des Arcades|                                        |Espèces|UBA BANK|2412150
29/09/2020|L03_02_20200929_42319|L03|Agence des Arcades|3430529                                 |Chèque ORABANK      |UBA BANK|212368
29/09/2020|L03_02_20200929_42319|L03|Agence des Arcades|6904377                                 |Chèque BICIG        |UBA BANK|90762
29/09/2020|L04_01_20200929_42315|L04|Agence Evolis|                                        |Espèces|UBA BANK|1959986
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|0001128                                 |Chèque UGB          |UBA BANK|5297905
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|5908516                                 |Chèque BICIG        |UBA BANK|1038491
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|6735369                                 |Chèque BGFI         |UBA BANK|136063
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|6735370                                 |Chèque BGFI         |UBA BANK|387273
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|6735371                                 |Chèque BGFI         |UBA BANK|45381
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|6735372                                 |Chèque BGFI         |UBA BANK|629962
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|6746873                                 |Chèque BICIG        |UBA BANK|118547
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|7048664                                 |Chèque BICIG        |UBA BANK|1197980
29/09/2020|L04_02_20200929_42314|L04|Agence Evolis|7404954                                 |Chèque BGFI         |UBA BANK|186971
29/09/2020|L05_01_20200929_42320|L05|Agence Principale|                                        |Espèces| BGFI BANK                              |2235902
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|0000112                                 |Chèque UGB          |BGFI BANK|45381
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|2945365                                 |Chèque ORABANK      |BGFI BANK|78001
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|6297486                                 |Chèque BICIG        |BGFI BANK|1500000
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|6563338                                 |Chèque BGFI         |BGFI BANK|317572
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|7256685                                 |Chèque BGFI         |BGFI BANK|152582
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|7256772                                 |Chèque BGFI         |BGFI BANK|360579
29/09/2020|L05_02_20200929_42301|L05|Agence Principale|9907752                                 |Chèque UGB          |BGFI BANK|127064
29/09/2020|L06_01_20200929_42323|L06|Agence Nzeng Ayong|                                        |Espèces|CITIBANK|1638231
29/09/2020|L06_02_20200929_42316|L06|Agence Nzeng Ayong|7704995                                 |Chèque UGB          |CITIBANK|45381
29/09/2020|L07_01_20200929_42303|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|368550
29/09/2020|L07_01_20200929_42304|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|1469837
29/09/2020|L08_01_20200929_42302|L08|Agence Owendo|                                        |Espèces|UBA BANK|1895660
29/09/2020|L08_02_20200929_42305|L08|Agence Owendo|3372907                                 |Chèque ORABANK      |UBA BANK|422133
29/09/2020|L10_01_20200929_42317|L10|Agence Carrefour SNI|                                        |Espèces|UBA BANK|547062
29/09/2020|L11_01_20200929_42328|L11|Agence Franceville|                                        |Espèces|UGB BANK|685501
29/09/2020|L11_02_20200929_42324|L11|Agence Franceville|   7002795                              |Chèque BICIG        |UGB BANK|245468
29/09/2020|L11_02_20200929_42324|L11|Agence Franceville|7002795                                 |Chèque BICIG        |UGB BANK|5377506
29/09/2020|L12_01_20200929_42334|L12|Agence Port-Gentil|                                        |Espèces|UGB BANK|935471
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|0000409                                 |Chèque UGB          |BGFI BANK|121017
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|0001691                                 |Chèque UGB          |BGFI BANK|1058901
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|3390253                                 |Chèque ORABANK      |BGFI BANK|78687
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|3449444                                 |Chèque ORABANK      |BGFI BANK|326686
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6789931                                 |Chèque BGFI         |BGFI BANK|233497
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6935883                                 |Chèque BGFI         |BGFI BANK|130000
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6981833                                 |Chèque BICIG        |BGFI BANK|34449
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|6995147                                 |Chèque BGFI         |BGFI BANK|90762
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7147049                                 |Chèque BGFI         |BGFI BANK|146632
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7147052                                 |Chèque BGFI         |BGFI BANK|88977
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7287560                                 |Chèque BGFI         |BGFI BANK|47600
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7379056                                 |Chèque BGFI         |BGFI BANK|99860
29/09/2020|L12_02_20200929_42335|L12|Agence Port-Gentil|7749609                                 |Chèque UGB          |BGFI BANK|94111
29/09/2020|L13_01_20200929_42296|L13|Agence Koulamoutou|                                        |Espèces|ORABANK Recettes|4264273
29/09/2020|L14_01_20200929_42297|L14|Agence Oyem|                                        |Espèces|UGB BANK|2835000
29/09/2020|L14_01_20200929_42300|L14|Agence Oyem|                                        |Espèces|UGB BANK|96000
29/09/2020|L15_01_20200929_42311|L15|Agence Lambaréné|                                        |Espèces|   BGFI BANK                            |645905
29/09/2020|L16_01_20200929_42336|L16|Agence Mouila|                                        |Espèces|BICIG BANK|440390
29/09/2020|L17_01_20200929_42318|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |1015977
29/09/2020|L22_01_20200929_42327|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2646947
29/09/2020|L22_02_20200929_42326|L22|Agence Mbolo|9989459                                 |Chèque UGB          |ORABANK Recettes|79831
29/09/2020|L22_02_20200929_42326|L22|Agence Mbolo|N° 3463670                              |Chèque ORABANK      |ORABANK Recettes|133411
29/09/2020|L22_02_20200929_42326|L22|Agence Mbolo|N° 6491980                              |Chèque BICIG        |ORABANK Recettes|45262
29/09/2020|L25_01_20200929_42331|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|1892481
29/09/2020|L29_01_20200929_42313|L29|Agence FTTH|                                        |Espèces|BGFI BANK|2063663
29/09/2020|L29_02_20200929_42308|L29|Agence FTTH|0000290                                 |Chèque UGB          |BGFI BANK|84961
29/09/2020|L29_02_20200929_42308|L29|Agence FTTH|7325449                                 |Chèque BGFI         |BGFI BANK|45381
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|0014070                                 |Chèque ECOBANK      |UGB BANK|94500000
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|0014071                                 |Chèque ECOBANK      |UGB BANK|10650000
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|5877204                                 |Chèque UGB          |UGB BANK|35000000
29/09/2020|L32_02_20200930_42338|L32|DCM - distribution|6929416                                 |Chèque BICIG        |UGB BANK|94500000
29/09/2020|L32_02_20200930_42337|L32|DCM - distribution|6929417                                 |Chèque BICIG        |UGB BANK|20500000
