14/09/2020|L22_02_20200914_41801|L22|Agence Mbolo|N°7002417                               |Chèque BICIG        |ORABANK Recettes|49673
14/09/2020|L25_01_20200914_41815|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|1279932
14/09/2020|L29_01_20200914_41812|L29|Agence FTTH|                                        |Espèces|UBA BANK|2408520
14/09/2020|L29_02_20200914_41825|L29|Agence FTTH|0779170                                 |Chèque UBA          |UBA BANK|63104
14/09/2020|L29_02_20200914_41825|L29|Agence FTTH|3434990                                 |Chèque ORABANK      |UBA BANK|124345
14/09/2020|L29_02_20200914_41825|L29|Agence FTTH|5451259                                 |Chèque BICIG        |UBA BANK|70599
14/09/2020|L29_02_20200914_41825|L29|Agence FTTH|6807211                                 |Chèque BGFI         |UBA BANK|151925
14/09/2020|L29_02_20200914_41825|L29|Agence FTTH|6859723                                 |Chèque BICIG        |UBA BANK|1305109
14/09/2020|L29_02_20200914_41825|L29|Agence FTTH|7191579                                 |Chèque BGFI         |UBA BANK|6577388
14/09/2020|L32_02_20200915_41832|L32|DCM - distribution|3410166                                 |Chèque ORABANK      |ORABANK|94500000
14/09/2020|L32_02_20200915_41832|L32|DCM - distribution|3410167                                 |Chèque ORABANK      |ORABANK|94500000
14/09/2020|L32_02_20200915_41832|L32|DCM - distribution|3410168                                 |Chèque ORABANK      |ORABANK|66150000
14/09/2020|L32_04_20200914_41794|L32|DCM - distribution|872671                                  |BGFI  Virement      | BGFI BANK                              |3553200
14/09/2020|L32_04_20200914_41794|L32|DCM - distribution|872677                                  |BGFI  Virement      | BGFI BANK                              |12927600
14/09/2020|L39_01_20200914_41796|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|23719500
14/09/2020|L39_01_20200914_41797|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|59710
14/09/2020|L40_01_20200914_41799|L40|Agence Gamba|                                        |Espèces|BICIG BANK|25000
14/09/2020|L40_01_20200915_41863|L40|Agence Gamba|                                        |Espèces|BICIG BANK|53300
14/09/2020|L79_01_20200914_41828|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|585900
14/09/2020|L79_01_20200914_41829|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|267482
14/09/2020|L80_01_20200914_41792|L80|Agence Bitam|                                        |Espèces|UGB BANK|444150
14/09/2020|L80_01_20200914_41793|L80|Agence Bitam|                                        |Espèces|UGB BANK|362920
14/09/2020|L80_01_20200914_41830|L80|Agence Bitam|                                        |Espèces|UGB BANK|75600
14/09/2020|L87_01_20200914_41800|L87|Agence PK8|                                        |Espèces|UBA BANK|256674
14/09/2020|M02_01_20200914_41806|M02|Agence Awendje|                                        |Espèces|UBA BANK|85050
14/09/2020|M02_01_20200914_41807|M02|Agence Awendje|                                        |Espèces|UBA BANK|1669462
